Date,Open,High,Low,Close
1/9/2020,141.16,141.39,136.24,138.98
1/10/2020,138.97,144.17,135.52,143.96
1/11/2020,143.41,146.48,142.21,142.93
1/12/2020,143.03,146.15,142.71,145.87
1/13/2020,146.22,146.79,142.91,144.23
1/14/2020,144.25,167.68,144.06,165.96
1/15/2020,165.73,170.43,161.11,166.23
1/16/2020,166.33,167.06,159.71,164.39
1/17/2020,164.49,173.07,162.78,170.78
1/18/2020,170.75,178.53,166.79,175.37
1/19/2020,175.47,177.25,163.68,166.97
1/20/2020,166.90,169.11,162.33,167.12
1/21/2020,167.06,169.91,165.82,169.70
1/22/2020,169.61,171.01,166.77,168.29
1/23/2020,168.30,168.31,160.30,162.93
1/24/2020,162.90,164.31,156.75,163.05
1/25/2020,163.07,163.23,158.63,161.28
1/26/2020,161.18,168.22,160.28,168.08
1/27/2020,168.01,172.92,166.90,170.93
1/28/2020,170.88,176.37,170.74,176.37
1/29/2020,176.35,178.84,175.05,175.05
1/30/2020,174.92,186.26,172.37,184.69
1/31/2020,184.74,185.41,176.30,180.16
2/1/2020,180.11,183.85,179.75,183.67
2/2/2020,183.53,193.08,180.17,188.62
2/3/2020,188.61,193.44,188.01,189.87
2/4/2020,189.86,191.11,185.40,189.25
2/5/2020,189.30,206.80,188.75,204.23
2/6/2020,204.13,214.60,201.90,212.34
2/7/2020,212.32,223.14,212.30,222.73
2/8/2020,222.51,226.59,215.39,223.15
2/9/2020,222.98,229.86,222.98,228.58
2/10/2020,228.55,229.18,218.08,223.52
2/11/2020,223.38,236.55,218.62,235.85
2/12/2020,235.90,272.40,235.90,265.41
2/13/2020,265.05,273.74,258.92,268.10
2/14/2020,268.02,285.06,262.76,284.22
2/15/2020,284.56,287.12,264.28,264.73
2/16/2020,264.90,272.88,242.48,259.89
2/17/2020,259.89,266.87,244.34,266.36
2/18/2020,266.51,283.20,261.46,281.94
2/19/2020,282.04,283.54,259.76,259.76
2/20/2020,259.82,263.70,250.95,257.95
2/21/2020,257.89,267.00,255.69,265.60
2/22/2020,265.55,266.39,258.91,262.33
2/23/2020,262.28,273.75,261.96,273.75
2/24/2020,273.71,275.54,259.63,265.22
2/25/2020,265.28,265.43,246.86,247.82
2/26/2020,247.74,249.65,221.27,225.68
2/27/2020,225.69,237.23,212.66,226.75
2/28/2020,226.99,234.21,216.35,226.76
2/29/2020,226.83,232.26,219.85,219.85
3/1/2020,219.75,226.68,214.13,218.97
3/2/2020,218.71,232.81,217.28,230.57
3/3/2020,230.52,232.33,221.73,224.48
3/4/2020,224.57,228.04,222.09,224.52
3/5/2020,224.64,234.36,224.64,229.27
3/6/2020,229.17,243.55,228.74,243.53
3/7/2020,243.75,249.98,237.55,237.85
3/8/2020,237.78,237.78,200.60,200.69
3/9/2020,201.32,207.45,192.27,201.99
3/10/2020,202.86,205.71,198.06,200.77
3/11/2020,200.77,202.95,184.36,194.87
3/12/2020,194.74,195.15,111.21,112.35
3/13/2020,112.69,137.43,95.18,133.20
3/14/2020,133.58,134.48,122.41,123.31
3/15/2020,123.25,132.24,121.85,125.21
3/16/2020,125.00,125.00,105.17,110.61
3/17/2020,110.41,118.99,110.41,113.94
3/18/2020,113.86,116.02,111.74,114.84
3/19/2020,114.84,140.53,114.73,136.59
3/20/2020,136.65,150.85,122.61,132.74
3/21/2020,133.10,135.97,127.16,132.82
3/22/2020,132.85,136.15,122.91,123.32
3/23/2020,123.37,134.91,121.87,134.91
3/24/2020,135.19,141.95,133.17,138.76
3/25/2020,138.91,141.40,134.30,136.20
